node,t_fail,verdict,lead,run_lead,band_alarm,quiet_alarm,n_band,deg,max_p
2,29.1,MISSED,,,0.0,0.0,10,1,0.04255348816514015
6,47.1,MISSED,,,0.0,0.0,10,0,0.08038634806871414
0,48.1,EARLY_WARNING,8.0,8.0,0.8,0.0,10,29,0.621162474155426
6,122.1,EARLY_WARNING,2.0,2.0,0.2,0.0,10,23,0.6213512420654297
0,178.1,EARLY_WARNING,10.0,38.0,1.0,0.4666666666666667,10,62,0.9481859803199768
7,178.1,MISSED,,,0.0,0.0,10,2,0.08038590848445892
1,199.1,EARLY_WARNING,10.0,29.0,1.0,0.31666666666666665,10,62,0.8449633717536926
2,270.1,EARLY_WARNING,10.0,33.00000000000003,1.0,0.423728813559322,10,68,0.6213188171386719
9,301.1,STANDING_ALARM,10.0,51.00000000000003,1.0,0.6949152542372882,10,87,0.6798990368843079
3,310.1,EARLY_WARNING,10.0,20.0,1.0,0.1694915254237288,10,28,0.9583059549331665
8,388.1,MISSED,,,0.0,0.0,10,17,0.05983200669288635
0,391.1,EARLY_WARNING,10.0,10.0,0.9,0.16666666666666666,10,49,0.9480770230293274
7,406.1,EARLY_WARNING,10.0,23.0,1.0,0.25,10,43,0.6799031496047974
7,589.1,EARLY_WARNING,10.0,39.0,1.0,0.48333333333333334,10,65,0.95790696144104
6,630.1,MISSED,,,0.0,0.0,10,49,0.05983591079711914
2,654.1,EARLY_WARNING,4.0,4.0,0.4,0.0,10,27,0.9482466578483582
5,677.1,EARLY_WARNING,10.0,33.0,1.0,0.43333333333333335,10,60,0.6799058318138123
6,807.1,EARLY_WARNING,10.0,17.0,1.0,0.11666666666666667,10,31,0.9481837153434753
1,818.1,MISSED,,,0.0,0.0,10,1,0.0876031443476677
7,844.1,EARLY_WARNING,10.0,34.0,1.0,0.4,10,82,0.9579681158065796
2,848.1,EARLY_WARNING,10.0,12.0,1.0,0.03333333333333333,10,37,0.8449634909629822
4,863.1,EARLY_WARNING,10.0,26.0,0.8,0.43333333333333335,10,56,0.8449633717536926
6,909.1,EARLY_WARNING,9.0,9.0,0.9,0.016666666666666666,10,17,0.6212826371192932
2,923.1,EARLY_WARNING,10.0,14.0,1.0,0.08333333333333333,10,38,0.9481157064437866
5,1009.1,STANDING_ALARM,10.0,39.0,1.0,0.6,10,68,0.9481979608535767
2,1029.1,EARLY_WARNING,8.999999999999886,8.999999999999886,0.9,0.0,10,27,0.6213253736495972
3,1072.1,EARLY_WARNING,2.0,2.0,0.2,0.13333333333333333,10,20,0.8449633717536926
6,1202.1,EARLY_WARNING,8.0,8.0,0.8,0.13333333333333333,10,26,0.9481000304222107
7,1294.1,MISSED,,,0.0,0.05,10,33,0.05983387678861618
7,1357.1,EARLY_WARNING,1.0,1.0,0.1,0.0,10,1,0.6212767362594604
8,1402.1,EARLY_WARNING,10.0,32.0,1.0,0.36666666666666664,10,40,0.9481157660484314
7,1426.1,EARLY_WARNING,10.0,16.0,1.0,0.1016949152542373,10,23,0.9576776623725891
